Slot,Strategy_Rank,Pattern,Round1_Pick,Round2_Pick,Round3_Pick,Round4_Pick,Round5_Pick,Avg_ADP,Avg_Variance,Value_Score
4,3,RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,18.020720789629305,0.00159326656044228
4,4,WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.483333333333334,18.139306614213357,0.0014626939692740613
4,5,RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,18.860026911728177,0.0012480290854677847
5,1,RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.699333333333335,17.971419952555532,0.0019977374222380773
5,2,WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.993333333333332,18.95932910205422,0.001692871929213017
5,3,RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,18.020720789629305,0.00159326656044228
5,4,WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.483333333333334,18.139306614213357,0.0014626939692740613
5,5,RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,18.860026911728177,0.0012480290854677847
6,1,RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.699333333333335,17.971419952555532,0.0019977374222380773
6,2,WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.993333333333332,18.95932910205422,0.001692871929213017
6,3,RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,18.020720789629305,0.00159326656044228
6,4,WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.483333333333334,18.139306614213357,0.0014626939692740613
6,5,RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,18.860026911728177,0.0012480290854677847
7,1,RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.699333333333335,17.971419952555532,0.0019977374222380773
7,2,WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.993333333333332,18.95932910205422,0.001692871929213017
7,3,RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,18.020720789629305,0.00159326656044228
7,4,WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.483333333333334,18.139306614213357,0.0014626939692740613
7,5,RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,18.860026911728177,0.0012480290854677847
8,1,RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.699333333333335,17.971419952555532,0.0019977374222380773
8,2,WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.993333333333332,18.95932910205422,0.001692871929213017
8,3,RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,18.020720789629305,0.00159326656044228
8,4,WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.483333333333334,18.139306614213357,0.0014626939692740613
8,5,RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,18.860026911728177,0.0012480290854677847
9,1,RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.699333333333335,17.971419952555532,0.0019977374222380773
9,2,WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.993333333333332,18.95932910205422,0.001692871929213017
9,3,RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,18.020720789629305,0.00159326656044228
9,4,WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.483333333333334,18.139306614213357,0.0014626939692740613
9,5,RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,18.860026911728177,0.0012480290854677847
10,1,RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.699333333333335,17.971419952555532,0.0019977374222380773
10,2,WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.993333333333332,18.95932910205422,0.001692871929213017
10,3,RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,18.020720789629305,0.00159326656044228
10,4,WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.483333333333334,18.139306614213357,0.0014626939692740613
10,5,RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,18.860026911728177,0.0012480290854677847
11,1,RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.699333333333335,17.971419952555532,0.0019977374222380773
11,2,WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.993333333333332,18.95932910205422,0.001692871929213017
11,3,RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,18.020720789629305,0.00159326656044228
11,4,WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.483333333333334,18.139306614213357,0.0014626939692740613
11,5,RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,18.860026911728177,0.0012480290854677847
12,1,RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.699333333333335,17.971419952555532,0.0019977374222380773
12,2,WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.993333333333332,18.95932910205422,0.001692871929213017
12,3,RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,18.020720789629305,0.00159326656044228
12,4,WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.483333333333334,18.139306614213357,0.0014626939692740613
12,5,RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,18.860026911728177,0.0012480290854677847
