Slot,Rank,Strategy_Name,Description,Value_Score,Strategy_Type,Round1_Pick,Round1_Pos,Round2_Pick,Round2_Pos,Round3_Pick,Round3_Pos,Round4_Pick,Round4_Pos,Round5_Pick,Round5_Pos,Round6_Pick,Round6_Pos,Round7_Pick,Round7_Pos,Round8_Pick,Round8_Pos,Round9_Pick,Round9_Pos,Round10_Pick,Round10_Pos,Round11_Pick,Round11_Pos,Round12_Pick,Round12_Pos,Round13_Pick,Round13_Pos,Round14_Pick,Round14_Pos,Round15_Pick,Round15_Pos,Round16_Pick,Round16_Pos,Is_Recommended
2,5,Zero-RB,"Three elite WRs early, RBs in mid rounds for strong bench depth",1546.6066666666666,Generic,Puka Nacua,WR,Chris Olave,WR,A.J. Brown,WR,D'Andre Swift,RB,Quinshon Judkins,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Blake Corum,RB,Jayden Higgins,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,True
2,6,Ryans-Animal,"Only draft players from teams with animal mascots, best available strategy",1534.9466666666667,Generic,Jahmyr Gibbs,RB,No player available,,Trey McBride,TE,D'Andre Swift,RB,Luther Burden III,WR,Tyler Warren,TE,RJ Harvey,RB,Sam LaPorta,TE,Caleb Williams,QB,Rashid Shaheed,WR,Jared Goff,QB,No player available,,Zach Charbonnet,RB,No player available,,No player available,,No player available,,False
2,7,TE-Premium (Combo),TE-Premium strategy optimized for slot 2,1533.9466666666667,RB/WR Combo,Jahmyr Gibbs,RB,Chris Olave,WR,Trey McBride,TE,Ladd McConkey,WR,Quinshon Judkins,RB,Carnell Tate,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Jake Ferguson,TE,RB (unavailable),RB,False
2,8,Balanced,"Balanced RB/WR mix early, strong TE/flex depth on bench",1531.4166666666663,Generic,Jahmyr Gibbs,RB,Chris Olave,WR,Kenneth Walker III,RB,Ladd McConkey,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
2,9,RB-WR-Mix (Combo),RB-WR-Mix strategy optimized for slot 2,1531.4166666666663,RB/WR Combo,Jahmyr Gibbs,RB,Chris Olave,WR,Kenneth Walker III,RB,Ladd McConkey,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
2,10,Value-Play (Combo),Value-Play strategy optimized for slot 2,1525.63,RB/WR Combo,Puka Nacua,WR,Josh Jacobs,RB,Kenneth Walker III,RB,Ladd McConkey,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Romeo Doubs,WR,Jonathon Brooks,RB,Jayden Higgins,WR,Isaiah Likely,TE,Tyrone Tracy Jr.,RB,Tank Dell,WR,RB (unavailable),RB,False
2,11,WR-Heavy,"Three WRs in first 5 picks, RB value in mid rounds for bench",1522.6066666666666,Generic,Puka Nacua,WR,Josh Jacobs,RB,A.J. Brown,WR,Ladd McConkey,WR,Quinshon Judkins,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Romeo Doubs,WR,Jonathon Brooks,RB,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Denzel Boston,WR,RB (unavailable),RB,False
2,12,Hero-RB,"Elite RB in R1, skip R2 RB, load WR/TE early, grab RBs in mid-rounds",1520.6433333333334,Generic,Jahmyr Gibbs,RB,Chris Olave,WR,A.J. Brown,WR,Ladd McConkey,WR,Colston Loveland,TE,Carnell Tate,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Jonathon Brooks,RB,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
3,1,Best-Available,Pick best value within ADP range regardless of position,1579.74,Generic,Bijan Robinson,RB,James Cook III,RB,Trey McBride,TE,Jameson Williams,WR,Luther Burden III,WR,David Montgomery,RB,Tony Pollard,RB,Matthew Stafford,QB,Jordyn Tyson,WR,Makai Lemon,WR,Rashid Shaheed,WR,Tre Tucker,WR,Blake Corum,RB,Hunter Henry,TE,Jake Ferguson,TE,No player available,,True
3,2,RB-First (Combo),RB-First strategy optimized for slot 3,1556.62,RB/WR Combo,Bijan Robinson,RB,James Cook III,RB,Nico Collins,WR,Jameson Williams,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Blake Corum,RB,Jerry Jeudy,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,True
3,3,Value-Play (Combo),Value-Play strategy optimized for slot 3,1553.3833333333332,RB/WR Combo,Puka Nacua,WR,James Cook III,RB,Kyren Williams,RB,Jameson Williams,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,Tre Tucker,WR,Isaiah Likely,TE,Isiah Pacheco,RB,Tank Dell,WR,RB (unavailable),RB,True
3,4,Heavy-RB,"Three elite RBs in first 3 rounds, pivot to WR depth",1551.4633333333334,Generic,Bijan Robinson,RB,James Cook III,RB,Kyren Williams,RB,Jameson Williams,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Blake Corum,RB,Jerry Jeudy,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,True
3,5,Zero-RB,"Three elite WRs early, RBs in mid rounds for strong bench depth",1550.04,Generic,Puka Nacua,WR,Chris Olave,WR,Nico Collins,WR,D'Andre Swift,RB,Quinshon Judkins,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Blake Corum,RB,Jerry Jeudy,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,True
3,6,WR-First (Combo),WR-First strategy optimized for slot 3,1548.6333333333332,RB/WR Combo,Puka Nacua,WR,Chris Olave,WR,Kyren Williams,RB,D'Andre Swift,RB,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,Tre Tucker,WR,Blake Corum,RB,Hunter Henry,TE,Tank Dell,WR,RB (unavailable),RB,False
3,7,Ryans-Animal,"Only draft players from teams with animal mascots, best available strategy",1546.74,Generic,Bijan Robinson,RB,James Cook III,RB,Trey McBride,TE,Jameson Williams,WR,Luther Burden III,WR,Tyler Warren,TE,RJ Harvey,RB,Sam LaPorta,TE,Caleb Williams,QB,Makai Lemon,WR,Rashid Shaheed,WR,No player available,,Zach Charbonnet,RB,No player available,,No player available,,No player available,,False
3,8,TE-Premium (Combo),TE-Premium strategy optimized for slot 3,1536.24,RB/WR Combo,Bijan Robinson,RB,Chris Olave,WR,Trey McBride,TE,Jameson Williams,WR,Quinshon Judkins,RB,Carnell Tate,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Jake Ferguson,TE,RB (unavailable),RB,False
3,9,Balanced,"Balanced RB/WR mix early, strong TE/flex depth on bench",1529.7133333333334,Generic,Bijan Robinson,RB,Chris Olave,WR,Kyren Williams,RB,Jameson Williams,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
3,10,RB-WR-Mix (Combo),RB-WR-Mix strategy optimized for slot 3,1529.7133333333334,RB/WR Combo,Bijan Robinson,RB,Chris Olave,WR,Kyren Williams,RB,Jameson Williams,WR,Luther Burden III,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
3,11,WR-Heavy,"Three WRs in first 5 picks, RB value in mid rounds for bench",1528.79,Generic,Puka Nacua,WR,James Cook III,RB,Nico Collins,WR,Jameson Williams,WR,Quinshon Judkins,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Denzel Boston,WR,RB (unavailable),RB,False
3,12,Hero-RB,"Elite RB in R1, skip R2 RB, load WR/TE early, grab RBs in mid-rounds",1521.37,Generic,Bijan Robinson,RB,Chris Olave,WR,Nico Collins,WR,Jameson Williams,WR,Colston Loveland,TE,Carnell Tate,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Jonathon Brooks,RB,Isaiah Likely,TE,Blake Corum,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
4,1,Best-Available,Pick best value within ADP range regardless of position,1579.5366666666666,Generic,Puka Nacua,WR,Omarion Hampton,RB,Trey McBride,TE,Davante Adams,WR,Alec Pierce,WR,Jaylen Warren,RB,Rhamondre Stevenson,RB,Matthew Stafford,QB,Kenny Gainwell,RB,Makai Lemon,WR,Rashid Shaheed,WR,KC Concepcion,WR,Jordan Mason,RB,Hunter Henry,TE,Jake Ferguson,TE,No player available,,True
4,2,Value-Play (Combo),Value-Play strategy optimized for slot 4,1556.26,RB/WR Combo,Puka Nacua,WR,Omarion Hampton,RB,Kyren Williams,RB,Davante Adams,WR,Alec Pierce,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,KC Concepcion,WR,Isaiah Likely,TE,Isiah Pacheco,RB,Tank Dell,WR,RB (unavailable),RB,True
4,3,WR-First (Combo),WR-First strategy optimized for slot 4,1548.6333333333332,RB/WR Combo,Puka Nacua,WR,Chris Olave,WR,Kyren Williams,RB,D'Andre Swift,RB,Alec Pierce,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,KC Concepcion,WR,Jordan Mason,RB,Hunter Henry,TE,Tank Dell,WR,RB (unavailable),RB,True
4,4,Ryans-Animal,"Only draft players from teams with animal mascots, best available strategy",1547.9133333333334,Generic,Ja'Marr Chase,WR,Jeremiyah Love,RB,Trey McBride,TE,Tee Higgins,WR,Alec Pierce,WR,Tyler Warren,TE,RJ Harvey,RB,Sam LaPorta,TE,Caleb Williams,QB,Makai Lemon,WR,Rashid Shaheed,WR,No player available,,Zach Charbonnet,RB,No player available,,No player available,,No player available,,True
4,5,TE-Premium (Combo),TE-Premium strategy optimized for slot 4,1538.1966666666667,RB/WR Combo,Jahmyr Gibbs,RB,Chris Olave,WR,Trey McBride,TE,Davante Adams,WR,Quinshon Judkins,RB,Carnell Tate,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Isaiah Likely,TE,Jordan Mason,RB,Tank Dell,WR,Jake Ferguson,TE,RB (unavailable),RB,True
4,6,Heavy-RB,"Three elite RBs in first 3 rounds, pivot to WR depth",1534.5466666666666,Generic,Jahmyr Gibbs,RB,Omarion Hampton,RB,Kyren Williams,RB,Davante Adams,WR,Alec Pierce,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Blake Corum,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
4,7,RB-First (Combo),RB-First strategy optimized for slot 4,1532.7966666666666,RB/WR Combo,Jahmyr Gibbs,RB,Omarion Hampton,RB,Zay Flowers,WR,Davante Adams,WR,Alec Pierce,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Blake Corum,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
4,8,Balanced,"Balanced RB/WR mix early, strong TE/flex depth on bench",1530.67,Generic,Jahmyr Gibbs,RB,Chris Olave,WR,Kyren Williams,RB,Davante Adams,WR,Alec Pierce,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Isaiah Likely,TE,Jordan Mason,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
4,9,RB-WR-Mix (Combo),RB-WR-Mix strategy optimized for slot 4,1530.67,RB/WR Combo,Jahmyr Gibbs,RB,Chris Olave,WR,Kyren Williams,RB,Davante Adams,WR,Alec Pierce,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Isaiah Likely,TE,Jordan Mason,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
4,10,Zero-RB,"Three elite WRs early, RBs in mid rounds for strong bench depth",1524.1333333333332,Generic,Puka Nacua,WR,Chris Olave,WR,Zay Flowers,WR,D'Andre Swift,RB,Quinshon Judkins,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Rashid Shaheed,WR,Blake Corum,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
4,11,WR-Heavy,"Three WRs in first 5 picks, RB value in mid rounds for bench",1523.76,Generic,Puka Nacua,WR,Omarion Hampton,RB,Zay Flowers,WR,Davante Adams,WR,Quinshon Judkins,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,Isaiah Likely,TE,Jordan Mason,RB,Tank Dell,WR,Denzel Boston,WR,RB (unavailable),RB,False
4,12,Hero-RB,"Elite RB in R1, skip R2 RB, load WR/TE early, grab RBs in mid-rounds",1516.42,Generic,Jahmyr Gibbs,RB,Chris Olave,WR,Zay Flowers,WR,Davante Adams,WR,Colston Loveland,TE,Carnell Tate,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Jonathon Brooks,RB,Isaiah Likely,TE,Jordan Mason,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
5,1,Best-Available,Pick best value within ADP range regardless of position,1573.513333333333,Generic,Ja'Marr Chase,WR,Omarion Hampton,RB,Kyren Williams,RB,Bucky Irving,RB,Jaylen Waddle,WR,Jaylen Warren,RB,Christian Watson,WR,Kyle Pitts Sr.,TE,Caleb Williams,QB,Makai Lemon,WR,Jared Goff,QB,Jerry Jeudy,WR,Tyler Shough,QB,Hunter Henry,TE,Jake Ferguson,TE,No player available,,True
5,2,Value-Play (Combo),Value-Play strategy optimized for slot 5,1569.013333333333,RB/WR Combo,Ja'Marr Chase,WR,Omarion Hampton,RB,Kyren Williams,RB,Davante Adams,WR,Jaylen Waddle,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,Jerry Jeudy,WR,Isaiah Likely,TE,Isiah Pacheco,RB,Tank Dell,WR,Tyrone Tracy Jr.,RB,True
5,3,WR-First (Combo),WR-First strategy optimized for slot 5,1558.6366666666668,RB/WR Combo,Ja'Marr Chase,WR,Chris Olave,WR,Kyren Williams,RB,Bucky Irving,RB,Jaylen Waddle,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,Jerry Jeudy,WR,Alvin Kamara,RB,Hunter Henry,TE,Tank Dell,WR,Tyrone Tracy Jr.,RB,True
5,4,Ryans-Animal,"Only draft players from teams with animal mascots, best available strategy",1547.8866666666668,Generic,Ja'Marr Chase,WR,Jeremiyah Love,RB,Zay Flowers,WR,Tee Higgins,WR,Jaylen Waddle,WR,Tyler Warren,TE,RJ Harvey,RB,Kyle Pitts Sr.,TE,Caleb Williams,QB,Makai Lemon,WR,Jared Goff,QB,No player available,,Zach Charbonnet,RB,No player available,,No player available,,No player available,,True
5,5,TE-Premium (Combo),TE-Premium strategy optimized for slot 5,1539.743333333333,RB/WR Combo,Christian McCaffrey,RB,Chris Olave,WR,Trey McBride,TE,Davante Adams,WR,Quinshon Judkins,RB,Carnell Tate,WR,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Matthew Golden,WR,Isaiah Likely,TE,Alvin Kamara,RB,Tank Dell,WR,Jake Ferguson,TE,Tyrone Tracy Jr.,RB,True
5,6,WR-Heavy,"Three WRs in first 5 picks, RB value in mid rounds for bench",1531.513333333333,Generic,Ja'Marr Chase,WR,Omarion Hampton,RB,Zay Flowers,WR,Davante Adams,WR,Quinshon Judkins,RB,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Makai Lemon,WR,Jonathon Brooks,RB,Isaiah Likely,TE,Alvin Kamara,RB,Tank Dell,WR,Denzel Boston,WR,Tyrone Tracy Jr.,RB,False
5,7,Heavy-RB,"Three elite RBs in first 3 rounds, pivot to WR depth",1528.0933333333332,Generic,Christian McCaffrey,RB,Omarion Hampton,RB,Kyren Williams,RB,Davante Adams,WR,Jaylen Waddle,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Matthew Golden,WR,Blake Corum,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
5,8,RB-First (Combo),RB-First strategy optimized for slot 5,1526.3433333333332,RB/WR Combo,Christian McCaffrey,RB,Omarion Hampton,RB,Zay Flowers,WR,Davante Adams,WR,Jaylen Waddle,WR,Tyler Warren,TE,Dak Prescott,QB,DEF (Round 8),DEF,K (Round 9),K,Jacory Croskey-Merritt,RB,Matthew Golden,WR,Blake Corum,RB,Jalen McMillan,WR,Hunter Henry,TE,Tyrone Tracy Jr.,RB,WR (unavailable),WR,False
