Slot,Rank,Strategy_Name,Pattern,Description,Round1_Pick,Round2_Pick,Round3_Pick,Round4_Pick,Round5_Pick,Avg_ADP,Value_Score,Strategy_Type,Is_Recommended
5,3,RB-Heavy,Generic,"Load up on RBs early (rounds 1-3), then pivot to WR and depth later.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
5,4,WR-Heavy,Generic,"Prioritize elite WRs in rounds 1-3, grab RBs on the rebound in rounds 4-5.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
5,5,Zero-RB,Generic,"Skip RB in R1-R2, focus on elite WRs and TE, grab RB value in R3-R4.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.7,Generic,False
5,6,RB-WR-RB-WR-RB Mix,RB-WR-RB-WR-RB,Pattern-based strategy: RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.69933333333333,0.001997737422238,Data-Driven,False
5,7,WR-RB-WR-RB-RB Mix,WR-RB-WR-RB-RB,Pattern-based strategy: WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.99333333333333,0.001692871929213,Data-Driven,False
5,8,RB-RB-WR-RB-WR Mix,RB-RB-WR-RB-WR,Pattern-based strategy: RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,0.0015932665604422,Data-Driven,False
5,9,WR-RB-RB-WR-RB Mix,WR-RB-RB-WR-RB,Pattern-based strategy: WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.48333333333333,0.001462693969274,Data-Driven,False
5,10,RB-WR-WR-RB-RB Mix,RB-WR-WR-RB-RB,Pattern-based strategy: RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,0.0012480290854677,Data-Driven,False
6,1,Best Available,Generic,Take the best player available regardless of position. Focus on talent and value.,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.85,Generic,True
6,2,Balanced,Generic,Alternate RB and WR evenly across first 5 rounds (balance both positions).,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.8,Generic,False
6,3,RB-Heavy,Generic,"Load up on RBs early (rounds 1-3), then pivot to WR and depth later.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
6,4,WR-Heavy,Generic,"Prioritize elite WRs in rounds 1-3, grab RBs on the rebound in rounds 4-5.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
6,5,Zero-RB,Generic,"Skip RB in R1-R2, focus on elite WRs and TE, grab RB value in R3-R4.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.7,Generic,False
6,6,RB-WR-RB-WR-RB Mix,RB-WR-RB-WR-RB,Pattern-based strategy: RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.69933333333333,0.001997737422238,Data-Driven,False
6,7,WR-RB-WR-RB-RB Mix,WR-RB-WR-RB-RB,Pattern-based strategy: WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.99333333333333,0.001692871929213,Data-Driven,False
6,8,RB-RB-WR-RB-WR Mix,RB-RB-WR-RB-WR,Pattern-based strategy: RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,0.0015932665604422,Data-Driven,False
6,9,WR-RB-RB-WR-RB Mix,WR-RB-RB-WR-RB,Pattern-based strategy: WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.48333333333333,0.001462693969274,Data-Driven,False
6,10,RB-WR-WR-RB-RB Mix,RB-WR-WR-RB-RB,Pattern-based strategy: RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,0.0012480290854677,Data-Driven,False
7,1,Best Available,Generic,Take the best player available regardless of position. Focus on talent and value.,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.85,Generic,True
7,2,Balanced,Generic,Alternate RB and WR evenly across first 5 rounds (balance both positions).,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.8,Generic,False
7,3,RB-Heavy,Generic,"Load up on RBs early (rounds 1-3), then pivot to WR and depth later.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
7,4,WR-Heavy,Generic,"Prioritize elite WRs in rounds 1-3, grab RBs on the rebound in rounds 4-5.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
7,5,Zero-RB,Generic,"Skip RB in R1-R2, focus on elite WRs and TE, grab RB value in R3-R4.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.7,Generic,False
7,6,RB-WR-RB-WR-RB Mix,RB-WR-RB-WR-RB,Pattern-based strategy: RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.69933333333333,0.001997737422238,Data-Driven,False
7,7,WR-RB-WR-RB-RB Mix,WR-RB-WR-RB-RB,Pattern-based strategy: WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.99333333333333,0.001692871929213,Data-Driven,False
7,8,RB-RB-WR-RB-WR Mix,RB-RB-WR-RB-WR,Pattern-based strategy: RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,0.0015932665604422,Data-Driven,False
7,9,WR-RB-RB-WR-RB Mix,WR-RB-RB-WR-RB,Pattern-based strategy: WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.48333333333333,0.001462693969274,Data-Driven,False
7,10,RB-WR-WR-RB-RB Mix,RB-WR-WR-RB-RB,Pattern-based strategy: RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,0.0012480290854677,Data-Driven,False
8,1,Best Available,Generic,Take the best player available regardless of position. Focus on talent and value.,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.85,Generic,True
8,2,Balanced,Generic,Alternate RB and WR evenly across first 5 rounds (balance both positions).,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.8,Generic,False
8,3,RB-Heavy,Generic,"Load up on RBs early (rounds 1-3), then pivot to WR and depth later.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
8,4,WR-Heavy,Generic,"Prioritize elite WRs in rounds 1-3, grab RBs on the rebound in rounds 4-5.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
8,5,Zero-RB,Generic,"Skip RB in R1-R2, focus on elite WRs and TE, grab RB value in R3-R4.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.7,Generic,False
8,6,RB-WR-RB-WR-RB Mix,RB-WR-RB-WR-RB,Pattern-based strategy: RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.69933333333333,0.001997737422238,Data-Driven,False
8,7,WR-RB-WR-RB-RB Mix,WR-RB-WR-RB-RB,Pattern-based strategy: WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.99333333333333,0.001692871929213,Data-Driven,False
8,8,RB-RB-WR-RB-WR Mix,RB-RB-WR-RB-WR,Pattern-based strategy: RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,0.0015932665604422,Data-Driven,False
8,9,WR-RB-RB-WR-RB Mix,WR-RB-RB-WR-RB,Pattern-based strategy: WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.48333333333333,0.001462693969274,Data-Driven,False
8,10,RB-WR-WR-RB-RB Mix,RB-WR-WR-RB-RB,Pattern-based strategy: RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,0.0012480290854677,Data-Driven,False
9,1,Best Available,Generic,Take the best player available regardless of position. Focus on talent and value.,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.85,Generic,True
9,2,Balanced,Generic,Alternate RB and WR evenly across first 5 rounds (balance both positions).,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.8,Generic,False
9,3,RB-Heavy,Generic,"Load up on RBs early (rounds 1-3), then pivot to WR and depth later.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
9,4,WR-Heavy,Generic,"Prioritize elite WRs in rounds 1-3, grab RBs on the rebound in rounds 4-5.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
9,5,Zero-RB,Generic,"Skip RB in R1-R2, focus on elite WRs and TE, grab RB value in R3-R4.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.7,Generic,False
9,6,RB-WR-RB-WR-RB Mix,RB-WR-RB-WR-RB,Pattern-based strategy: RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.69933333333333,0.001997737422238,Data-Driven,False
9,7,WR-RB-WR-RB-RB Mix,WR-RB-WR-RB-RB,Pattern-based strategy: WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.99333333333333,0.001692871929213,Data-Driven,False
9,8,RB-RB-WR-RB-WR Mix,RB-RB-WR-RB-WR,Pattern-based strategy: RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,0.0015932665604422,Data-Driven,False
9,9,WR-RB-RB-WR-RB Mix,WR-RB-RB-WR-RB,Pattern-based strategy: WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.48333333333333,0.001462693969274,Data-Driven,False
9,10,RB-WR-WR-RB-RB Mix,RB-WR-WR-RB-RB,Pattern-based strategy: RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,0.0012480290854677,Data-Driven,False
10,1,Best Available,Generic,Take the best player available regardless of position. Focus on talent and value.,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.85,Generic,True
10,2,Balanced,Generic,Alternate RB and WR evenly across first 5 rounds (balance both positions).,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.8,Generic,False
10,3,RB-Heavy,Generic,"Load up on RBs early (rounds 1-3), then pivot to WR and depth later.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
10,4,WR-Heavy,Generic,"Prioritize elite WRs in rounds 1-3, grab RBs on the rebound in rounds 4-5.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
10,5,Zero-RB,Generic,"Skip RB in R1-R2, focus on elite WRs and TE, grab RB value in R3-R4.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.7,Generic,False
10,6,RB-WR-RB-WR-RB Mix,RB-WR-RB-WR-RB,Pattern-based strategy: RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.69933333333333,0.001997737422238,Data-Driven,False
10,7,WR-RB-WR-RB-RB Mix,WR-RB-WR-RB-RB,Pattern-based strategy: WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.99333333333333,0.001692871929213,Data-Driven,False
10,8,RB-RB-WR-RB-WR Mix,RB-RB-WR-RB-WR,Pattern-based strategy: RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,0.0015932665604422,Data-Driven,False
10,9,WR-RB-RB-WR-RB Mix,WR-RB-RB-WR-RB,Pattern-based strategy: WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.48333333333333,0.001462693969274,Data-Driven,False
10,10,RB-WR-WR-RB-RB Mix,RB-WR-WR-RB-RB,Pattern-based strategy: RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,0.0012480290854677,Data-Driven,False
11,1,Best Available,Generic,Take the best player available regardless of position. Focus on talent and value.,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.85,Generic,True
11,2,Balanced,Generic,Alternate RB and WR evenly across first 5 rounds (balance both positions).,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.8,Generic,False
11,3,RB-Heavy,Generic,"Load up on RBs early (rounds 1-3), then pivot to WR and depth later.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
11,4,WR-Heavy,Generic,"Prioritize elite WRs in rounds 1-3, grab RBs on the rebound in rounds 4-5.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
11,5,Zero-RB,Generic,"Skip RB in R1-R2, focus on elite WRs and TE, grab RB value in R3-R4.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.7,Generic,False
11,6,RB-WR-RB-WR-RB Mix,RB-WR-RB-WR-RB,Pattern-based strategy: RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.69933333333333,0.001997737422238,Data-Driven,False
11,7,WR-RB-WR-RB-RB Mix,WR-RB-WR-RB-RB,Pattern-based strategy: WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.99333333333333,0.001692871929213,Data-Driven,False
11,8,RB-RB-WR-RB-WR Mix,RB-RB-WR-RB-WR,Pattern-based strategy: RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,0.0015932665604422,Data-Driven,False
11,9,WR-RB-RB-WR-RB Mix,WR-RB-RB-WR-RB,Pattern-based strategy: WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.48333333333333,0.001462693969274,Data-Driven,False
11,10,RB-WR-WR-RB-RB Mix,RB-WR-WR-RB-RB,Pattern-based strategy: RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,0.0012480290854677,Data-Driven,False
12,1,Best Available,Generic,Take the best player available regardless of position. Focus on talent and value.,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.85,Generic,True
12,2,Balanced,Generic,Alternate RB and WR evenly across first 5 rounds (balance both positions).,(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.8,Generic,False
12,3,RB-Heavy,Generic,"Load up on RBs early (rounds 1-3), then pivot to WR and depth later.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
12,4,WR-Heavy,Generic,"Prioritize elite WRs in rounds 1-3, grab RBs on the rebound in rounds 4-5.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.75,Generic,False
12,5,Zero-RB,Generic,"Skip RB in R1-R2, focus on elite WRs and TE, grab RB value in R3-R4.",(Flexible),(Flexible),(Flexible),(Flexible),(Flexible),0.0,0.7,Generic,False
12,6,RB-WR-RB-WR-RB Mix,RB-WR-RB-WR-RB,Pattern-based strategy: RB-WR-RB-WR-RB,Jahmyr Gibbs,Drake London,Kyren Williams,Terry McLaurin,Quinshon Judkins,26.69933333333333,0.001997737422238,Data-Driven,False
12,7,WR-RB-WR-RB-RB Mix,WR-RB-WR-RB-RB,Pattern-based strategy: WR-RB-WR-RB-RB,Ja'Marr Chase,Saquon Barkley,DeVonta Smith,D'Andre Swift,Bhayshul Tuten,29.99333333333333,0.001692871929213,Data-Driven,False
12,8,RB-RB-WR-RB-WR Mix,RB-RB-WR-RB-WR,Pattern-based strategy: RB-RB-WR-RB-WR,De'Von Achane,Jeremiyah Love,Garrett Wilson,Quinshon Judkins,Michael Pittman Jr.,33.63666666666667,0.0015932665604422,Data-Driven,False
12,9,WR-RB-RB-WR-RB Mix,WR-RB-RB-WR-RB,Pattern-based strategy: WR-RB-RB-WR-RB,Drake London,James Cook III,Javonte Williams,Ladd McConkey,Jaylen Warren,36.48333333333333,0.001462693969274,Data-Driven,False
12,10,RB-WR-WR-RB-RB Mix,RB-WR-WR-RB-RB,Pattern-based strategy: RB-WR-WR-RB-RB,Chase Brown,Nico Collins,Davante Adams,Bhayshul Tuten,Rico Dowdle,41.260666666666665,0.0012480290854677,Data-Driven,False
1,11,Jets Focus,Jets-Only,"Prioritize NY Jets players (Breece Hall RB, Garrett Wilson WR) in optimal positions while maintaining roster needs.",(Flexible),Breece Hall,Garrett Wilson,(Flexible),(Flexible),30.0,0.72,Jets-Focused,False
2,11,Jets Focus,Jets-Only,"Prioritize NY Jets players (Breece Hall RB, Garrett Wilson WR) in optimal positions while maintaining roster needs.",(Flexible),Breece Hall,Garrett Wilson,(Flexible),(Flexible),30.0,0.72,Jets-Focused,False
3,11,Jets Focus,Jets-Only,"Prioritize NY Jets players (Breece Hall RB, Garrett Wilson WR) in optimal positions while maintaining roster needs.",(Flexible),Breece Hall,Garrett Wilson,(Flexible),(Flexible),30.0,0.72,Jets-Focused,False
4,11,Jets Focus,Jets-Only,"Prioritize NY Jets players (Breece Hall RB, Garrett Wilson WR) in optimal positions while maintaining roster needs.",(Flexible),Breece Hall,Garrett Wilson,(Flexible),(Flexible),30.0,0.72,Jets-Focused,False
